operacao,p,q,custo_i,total_acessos,custo_medio
450,228,203,630,273865,608.5888888888888
451,384,409,2,273867,607.2439024390244
452,390,365,648,274515,607.3340707964602
453,283,308,639,275154,607.4039735099337
454,374,399,628,275782,607.4493392070484
455,361,386,658,276440,607.5604395604396
456,94,119,633,277073,607.6162280701755
457,237,262,673,277746,607.7592997811817
458,43,68,2,277748,606.4366812227074
459,295,270,628,278376,606.4836601307189
460,400,425,650,279026,606.5782608695653
461,360,335,675,279701,606.7266811279826
462,122,121,2,279703,605.4177489177489
463,469,468,629,280332,605.4686825053996
464,189,188,628,280960,605.5172413793103
465,377,352,657,281617,605.6279569892473
466,367,342,2,281619,604.3326180257511
467,67,42,629,282248,604.3854389721628
468,616,591,630,282878,604.4401709401709
469,442,467,636,283514,604.5074626865671
470,558,533,629,284143,604.5595744680851
471,395,394,2,284145,603.28025477707
472,3,28,631,284776,603.3389830508474
473,476,477,628,285404,603.3911205073996
474,257,258,628,286032,603.4430379746835
475,280,281,658,286690,603.5578947368421
476,517,542,628,287318,603.609243697479
477,505,504,651,287969,603.7085953878407
478,302,301,630,288599,603.7635983263598
479,14,15,629,289228,603.8162839248434
480,523,498,651,289879,603.9145833333333
481,393,368,629,290508,603.966735966736
482,46,71,628,291136,604.0165975103735
483,141,142,637,291773,604.0848861283644
484,477,452,641,292414,604.1611570247934
485,535,510,2,292416,602.919587628866
486,237,238,2,292418,601.6831275720165
487,232,231,641,293059,601.7638603696098
488,5,6,629,293688,601.8196721311475
489,75,50,629,294317,601.8752556237218
490,278,253,682,294999,602.0387755102041
491,68,69,2,295001,600.8167006109979
492,584,559,628,295629,600.8719512195122
493,503,504,630,296259,600.9310344827586
494,281,282,683,296942,601.0971659919028
495,19,44,629,297571,601.1535353535354
496,411,410,629,298200,601.2096774193549
497,290,265,628,298828,601.2635814889336
498,579,554,628,299456,601.3172690763053
499,85,84,2,299458,600.1162324649299
500,65,66,631,300089,600.178
501,9,8,684,300773,600.3453093812375
502,484,459,655,301428,600.4541832669323
503,427,402,629,302057,600.5109343936382
504,195,196,629,302686,600.5674603174604
505,617,618,651,303337,600.6673267326732
506,418,443,640,303977,600.7450592885375
507,101,126,2,303979,599.5641025641025
508,268,243,634,304613,599.6318897637796
509,92,117,641,305254,599.713163064833
510,290,315,631,305885,599.7745098039215
511,562,561,631,306516,599.8356164383562
512,255,280,2,306518,598.66796875
513,488,487,630,307148,598.729044834308
514,578,603,699,307847,598.9241245136187
515,80,79,635,308482,598.9941747572816
516,57,58,2,308484,597.8372093023256
517,77,78,635,309119,597.9090909090909
518,417,418,2,309121,596.7586872586872
519,246,271,628,309749,596.8188824662814
520,95,96,630,310379,596.8826923076923
521,234,233,629,311008,596.9443378119001
522,530,555,628,311636,597.0038314176245
523,543,568,628,312264,597.0630975143404
524,396,397,628,312892,597.1221374045801
525,22,23,629,313521,597.1828571428572
526,29,28,630,314151,597.245247148289
527,502,527,2,314153,596.1157495256167
528,12,13,628,314781,596.1761363636364
529,217,216,639,315420,596.257088846881
530,522,547,2,315422,595.1358490566038
531,357,332,628,316050,595.1977401129943
532,543,518,654,316704,595.3082706766917
533,151,176,628,317332,595.3696060037523
534,69,70,642,317974,595.4569288389513
535,556,557,632,318606,595.5252336448598
536,247,248,628,319234,595.5858208955224
537,513,538,677,319911,595.7374301675977
538,204,205,630,320541,595.8011152416357
539,604,605,628,321169,595.860853432282
540,528,527,717,321886,596.0851851851852
541,455,456,2,321888,594.9870609981516
542,624,623,2,321890,593.8929889298893
543,284,285,795,322685,594.2633517495395
544,27,26,2,322687,593.1746323529412
545,94,95,2,322689,592.0899082568808
546,486,511,628,323317,592.1556776556777
547,192,167,2,323319,591.0767824497258
548,372,347,631,323950,591.1496350364963
549,129,104,637,324587,591.2331511839709
550,349,374,634,325221,591.310909090909
551,313,314,630,325851,591.3811252268603
552,354,329,629,326480,591.4492753623189
553,294,293,680,327160,591.6094032549729
554,377,378,802,327962,591.9891696750902
555,291,290,693,328655,592.1711711711712
556,433,408,628,329283,592.2356115107914
557,57,56,686,329969,592.4039497307002
558,215,190,707,330676,592.6093189964158
559,467,492,2,330678,591.5527728085867
560,383,408,2,330680,590.5
561,569,594,658,331338,590.620320855615
562,209,208,2,331340,589.5729537366548
563,2,27,2,331342,588.5293072824156
564,466,491,872,332214,589.031914893617
565,147,122,2,332216,587.9929203539823
566,112,113,2,332218,586.9575971731449
567,21,46,628,332846,587.0299823633158
568,284,259,2,332848,586.0
569,563,538,628,333476,586.0738137082601
570,392,417,2,333478,585.0491228070175
571,458,433,2,333480,584.0280210157619
572,464,465,2,333482,583.0104895104895
573,297,298,629,334111,583.0907504363001
574,336,361,2,334113,582.0783972125436
575,607,582,633,334746,582.1669565217392
576,553,554,874,335620,582.6736111111111
577,225,200,883,336503,583.1941074523397
578,186,211,2,336505,582.1885813148789
579,33,34,628,337133,582.2677029360967
580,237,212,2,337135,581.2672413793103
581,52,51,734,337869,581.5301204819277
582,620,595,628,338497,581.6099656357388
583,492,517,2,338499,580.6157804459691
584,585,610,628,339127,580.6969178082192
585,257,282,2,339129,579.7076923076924
