operacao,p,q,custo_i,total_acessos,custo_medio
511,0,511,10513,5241838,10258.0
512,0,512,10514,5252352,10258.5
513,0,513,10515,5262867,10259.0
514,0,514,10516,5273383,10259.5
515,0,515,10517,5283900,10260.0
516,0,516,10518,5294418,10260.5
517,0,517,10519,5304937,10261.0
518,0,518,10520,5315457,10261.5
519,0,519,10521,5325978,10262.0
520,0,520,10522,5336500,10262.5
521,0,521,10523,5347023,10263.0
522,0,522,10524,5357547,10263.5
523,0,523,10525,5368072,10264.0
524,0,524,10526,5378598,10264.5
525,0,525,10527,5389125,10265.0
526,0,526,10528,5399653,10265.5
527,0,527,10529,5410182,10266.0
528,0,528,10530,5420712,10266.5
529,0,529,10531,5431243,10267.0
530,0,530,10532,5441775,10267.5
531,0,531,10533,5452308,10268.0
532,0,532,10534,5462842,10268.5
533,0,533,10535,5473377,10269.0
534,0,534,10536,5483913,10269.5
535,0,535,10537,5494450,10270.0
536,0,536,10538,5504988,10270.5
537,0,537,10539,5515527,10271.0
538,0,538,10540,5526067,10271.5
539,0,539,10541,5536608,10272.0
540,0,540,10542,5547150,10272.5
541,0,541,10543,5557693,10273.0
542,0,542,10544,5568237,10273.5
543,0,543,10545,5578782,10274.0
544,0,544,10546,5589328,10274.5
545,0,545,10547,5599875,10275.0
546,0,546,10548,5610423,10275.5
547,0,547,10549,5620972,10276.0
548,0,548,10550,5631522,10276.5
549,0,549,10551,5642073,10277.0
550,0,550,10552,5652625,10277.5
551,0,551,10553,5663178,10278.0
552,0,552,10554,5673732,10278.5
553,0,553,10555,5684287,10279.0
554,0,554,10556,5694843,10279.5
555,0,555,10557,5705400,10280.0
556,0,556,10558,5715958,10280.5
557,0,557,10559,5726517,10281.0
558,0,558,10560,5737077,10281.5
559,0,559,10561,5747638,10282.0
560,0,560,10562,5758200,10282.5
561,0,561,10563,5768763,10283.0
562,0,562,10564,5779327,10283.5
563,0,563,10565,5789892,10284.0
564,0,564,10566,5800458,10284.5
565,0,565,10567,5811025,10285.0
566,0,566,10568,5821593,10285.5
567,0,567,10569,5832162,10286.0
568,0,568,10570,5842732,10286.5
569,0,569,10571,5853303,10287.0
570,0,570,10572,5863875,10287.5
571,0,571,10573,5874448,10288.0
572,0,572,10574,5885022,10288.5
573,0,573,10575,5895597,10289.0
574,0,574,10576,5906173,10289.5
575,0,575,10577,5916750,10290.0
576,0,576,10578,5927328,10290.5
577,0,577,10579,5937907,10291.0
578,0,578,10580,5948487,10291.5
579,0,579,10581,5959068,10292.0
580,0,580,10582,5969650,10292.5
581,0,581,10583,5980233,10293.0
582,0,582,10584,5990817,10293.5
583,0,583,10585,6001402,10294.0
584,0,584,10586,6011988,10294.5
585,0,585,10587,6022575,10295.0
586,0,586,10588,6033163,10295.5
587,0,587,10589,6043752,10296.0
588,0,588,10590,6054342,10296.5
589,0,589,10591,6064933,10297.0
590,0,590,10592,6075525,10297.5
591,0,591,10593,6086118,10298.0
592,0,592,10594,6096712,10298.5
593,0,593,10595,6107307,10299.0
594,0,594,10596,6117903,10299.5
595,0,595,10597,6128500,10300.0
596,0,596,10598,6139098,10300.5
597,0,597,10599,6149697,10301.0
598,0,598,10600,6160297,10301.5
599,0,599,10601,6170898,10302.0
600,0,600,10602,6181500,10302.5
601,0,601,10603,6192103,10303.0
602,0,602,10604,6202707,10303.5
603,0,603,10605,6213312,10304.0
604,0,604,10606,6223918,10304.5
605,0,605,10607,6234525,10305.0
606,0,606,10608,6245133,10305.5
607,0,607,10609,6255742,10306.0
608,0,608,10610,6266352,10306.5
609,0,609,10611,6276963,10307.0
610,0,610,10612,6287575,10307.5
611,0,611,10613,6298188,10308.0
612,0,612,10614,6308802,10308.5
613,0,613,10615,6319417,10309.0
614,0,614,10616,6330033,10309.5
615,0,615,10617,6340650,10310.0
616,0,616,10618,6351268,10310.5
